#本表聲旁及轄字無重覆。
⺽	⺽䳔閰
此	㠿㧗㧘㭰㰣㾹䂑䖪些佌呰啙嘴姕庛柴此泚玼疵皉眥眦砦祡紫胔茈觜訾訿貲赀跐鈭雌頾頿飺骴髭鮆鴜齜龇
步	步荹踄
武	娬武珷碔賦赋陚鵡鹉
歬	歬
歰	㒊歰涩澀澁
歲	䮹刿劌哕噦奯岁歲濊獩秽穢翙翽薉鐬顪饖
歷	䍥䍽䟐䥶坜壢攊枥櫪歷沥瀝癧藶雳靂
歸	㱕岿巋归歸蘬
歺	歹歺
死	死
殳	䟝䬦吺投杸殳祋酘骰
段	椴段毈瑖碫緞缎腶鍛锻
殷	㐆慇殷溵磤
殸	䡰声殸磬罄聲謦馨
殹	㗨㙠㿄䃜嫕嫛殹毉瞖繄翳蘙蠮贀醫鷖鹥黳
殺	䓭刹剎摋杀榝殺煞蔱鎩铩閷
殿	壂殿澱臀
毀	㩓檓毀毁毇燬譭
毄	击墼擊檕毄礊繫罊蘻蟿轚
毋	毋
毌	毌
母	䳇呣姆拇母胟苺
每	㙁䊈䍙䱕侮嗨悔挴晦梅毎每海畮痗脢莓誨诲踇酶鋂霉
毐	毐
毒	毒瑇碡纛蝳
比	䃾䉾䚹仳吡妣屁庇批枇比沘玭琵砒秕笓粊紕纰肶芘蚍豼鈚阰魮
毘	㔡㡙㮰䠘媲毗毘磇篦膍蓖螕貔鎞
毚	㺥䪌儳劖嚵巉搀攙欃毚瀺纔艬讒谗酁鑱镵饞馋
毛	㕰㲏㲝䋃䫽旄枆毛毣氂牦眊秏耄耗芼覒酕髦
毳	㦌㯔毳竁膬
氏	䉻䟗䲬坁帋忯扺氏汦疧眂祇秖紙纸舐芪蚔衹軝
氐	㪆㲳䓜䟡䧑䩚䬫低厎坻奃岻底弤彽抵柢氐泜牴疷眡砥祗秪羝胝茋蚳袛觝詆诋貾趆軧邸阺骶鴟鸱
民	㨉䟨䪸刡岷怋愍抿敃暋民泯珉眠笢罠蟁鈱
氒	氒
气	㧉刏忥忾愾气氣汽熂犔鎎霼餼饩
水	㽷水沝
氶	䒱䕄丞承拯氶烝篜脀蒸
永	咏栐永泳詠
氾	䀀氾犯笵範范
求	䟵䣇俅捄救梂殏毬求球絿脙莍蛷觩賕赇逑銶
汓	汓
沒	歿殁沒没莈
沓	㛥㧺㭼㹺䂿䈋䍝䓠䵬沓涾濌誻踏錔鞜
沙	㲚䓾䤬娑挱挲桫桬沙砂硰紗纱莎莏裟髿魦鯊鲨
泉	泉灥線线腺葲
法	法灋珐琺
波	婆波碆菠蔢
津	津葏
派	㭛䤨派眽脈脉衇霡霢
涉	䤮涉
淮	㨤匯擓汇淮
淵	䨊囦奫婣淵渊裫鼘
淼	淼
渠	䝣淭渠璖磲蕖蟝
湌	湌
火	伙火邩
灰	㷇䈐恢灰盔脄詼诙
災	災
灾	灾
炅	昋炅煚
炎	㰊䆱䎦䕭倓剡啖惔扊掞棪毯氮淡炎焱燄燅琰痰睒緂腅舕菼裧覢談谈賧郯錟锬餤
炙	䂹炙
炭	㛶㨏湠炭碳
烏	㮧䃖䡧乌呜嗚坞塢歍溩烏瑦螐邬鄔鎢钨隖鰞
烕	搣滅灭烕
焉	㯊䗡傿嘕嫣漹焉蔫鄢
焚	焚
無	㒇䉑䌗䍢䒉儛墲妩嫵幠庑廡怃憮抚撫橅潕無璑甒瞴膴舞芜蕪譕鄦鷡
焦	㲬䌭䩌僬劁噍嶕憔撨樵潐焦燋癄瞧礁穛膲蕉蟭譙谯趭醮鐎顦鷦鹪
然	㒄㜣㦓㬗嘫撚橪然燃繎蹨
焸	焸
煩	烦煩薠
熊	熊
熏	勲勳壎曛櫄熏燻爋獯纁臐薰醺
熒	㒌㽦䁝䎕䪯塋嫈嵘嵤嶸榮檾滎滢濙濴瀅焭煢熒營瑩禜縈罃茔茕荣荥荧莹莺萤营萦蝾螢蠑褮覮謍醟鎣鶯
燊	燊
燕	㬫嚥嬿燕讌酀醼驠鷰
燮	燮躞
爨	爨
爪	䝖抓爪笊
爭	䋫䱢争净凈埩峥崢挣掙棦浄淨爭狰猙琤睁睜竫筝箏諍诤錚铮鬇
爯	偁爯称稱
爰	㬊䁔䈠喛媛嵈愋援暖楥湲煖爰猨瑗緩缓蝯褑諼谖鍰锾鰀鶢
爲	㺔䞈䦱䧦为伪偽僞儰噅噕嬀寪撝潙為爲蔿蘤蟡譌鄬
爵	㩱䂃嚼灂爝爵皭穱釂
父	㕮䭸斧滏父蚥釜
爻	㤊䂚䋂䡈敎教爻笅
爽	㼽䫪傸塽摤樉漺爽磢騻鷞
爾	㜷䌳䥸壐嬭彌擟檷沵濔瀰爾狝猕獮獼玺璽瓕祢禰籋薾邇鑈镾鸍
爿	㽵䍧妆妝床戕斨爿牀牂状狀
牆	墙嫱嬙廧樯檣牆蔷薔蘠
片	䏒沜片
牖	牖
牙	㤉䓉厊呀岈庌枒牙犽琊疨砑芽衺訝讶谺迓邪釾雅颬鴉鸦齖
牛	牛
牟	侔劺恈牟眸蛑鴾麰
牡	牡
牢	㟉䜮哰牢窂
牧	牧
特	特
牽	㯠牵牽縴
犀	摨犀
犇	犇
犬	汱犬畎
犮	㺴䣮䮂䯋䳊冹坺妭帗拔炦犮盋瞂祓紱绂翇胈苃茇菝蛂袚跋軷鈸钹韍颰馛髮魃黻
狂	㤮俇狂誑诳逛鵟
狄	悐梑狄荻逖
狊	䠐湨犑狊瞁郹闃阒鶪鼳
狖	抭狖貁
猋	䔸猋贆飆飙
猌	慭憖猌
猒	猒
獄	嶽狱獄鸑
獸	兽嘼獸
獻	㩵䡾囐巘献獻瓛讞谳钀齾
玄	䝮䩙䮄伭泫炫玄玆玹痃眩絃胘舷蚿衒袨詃鉉铉
率	䔞䢦摔率繂膟蟀
玉	匤玉玨珏砡鈺钰頊顼鳿
玊	玊
王	㳹䍿彺旺枉汪王蚟軖迋
班	斑班
瑟	瑟璱飋
瑣	䐝䣔䵀唢嗩溑琐瑣鎖锁
瓜	㧓㽿䉉䠚呱坬孤弧搲攨柧泒狐瓜畖窊箍箛罛胍苽菰觚軱
瓦	瓦邷
甘	㟛䇞䗣坩姏嵌拑柑泔甘甝疳箝紺绀苷蚶邯酣鉗钳魽黚
甚	㴴䤁䨢䫖偡勘堪墈媅嵁愖戡揕斟椹歁湛煁甚瘎碪磡糂葚諶谌踸鍖黮
甜	䄼恬栝湉狧甜銛铦餂
生	䴤夝姓性旌牲狌珄生甥笙胜貹鉎鮏鼪
甡	甡
產	㦃㹌䊲䐮产剷嵼摌浐滻產産簅鏟铲
甤	甤蕤
用	佣用
甫	㕊㩤䈻䔕䩉䪔䮒俌匍哺圃埔峬庯悑捕敷旉晡浦烳璷甫痡秿簠脯莆葡蒱蒲蜅补補誧豧輔辅逋郙酺鋪铺陠餔鬴鯆鵏麱黼
甬	㪌㼧俑勇埇恿悀慂捅桶氄涌湧甬痛筩蓪蛹誦诵踊踴通銿
田	䟧䡘佃沺田甸畋鈿钿
由	㣙㽕㾄䅢䛆䨤伷冑妯宙岫怞抽柚油牰由秞笛紬胄舳苖菗蚰袖軸轴迪邮釉鈾铀頔駎鮋鼬
甲	䆘䛅匣呷岬庘押柙炠狎玾甲笚翈胛鉀钾閘闸鴨鸭
申	䰠伸呻抻朄柛申电眒砷神紳绅胂訷電
男	男
甹	俜娉梬甹聘騁骋
甽	甽
甾	㿳䎩䣎椔淄湽甾緇缁菑輜辎錙锱鯔鲻鶅
畀	淠畀痹箅
畏	㛱㞇㱬㾯䋿偎喂嵔揋椳渨煨猥畏碨腲葨鍡隈餵鰃
畐	㽬䈏䔰䮠䵗偪副匐堛富幅愊揊楅湢畐疈福稫腷葍蔔蝠褔踾輻辐逼鶝
留	㨨㽌塯嵧廇榴溜瑠留瘤籀罶蒥遛鎦镏霤飀飗餾馏騮骝鰡鶹鹠
畜	㜅傗慉搐滀畜稸蓄鄐
畞	亩畝畞
畟	㮨㹄溭畟稷謖谡
畢	㓖㪤㮿㻫䟆彃毕滭熚畢筚篳縪罼荜蓽跸蹕鏎韠饆鷝
番	㢖㺕㽃䮳墦嶓幡播旛橎潘燔璠番皤磻籓繙羳翻膰蕃藩蟠襎譒蹯轓鄱鐇飜鱕鷭
畫	㗲㦎㩇䐸劃婳嫿澅画畫繣
異	㔴䔬廙潩瀷熼異禩翼趩
當	㼕儅噹当挡擋档檔珰璫當筜簹蟷裆襠譡鐺铛闣
畺	㹔䗵䲔僵壃彊橿殭畕畺疆礓繮缰薑韁麠
畾	㔣㠥㵽儡壘攂櫐櫑瓃畾礧罍藟蘽讄轠鑘鸓
疊	㩹䴑叠曡氎疊
疋	㽰㿿䝪梳疋疎疏蔬
疌	倢啑婕寁崨徢捷疀疌睫箑緁萐蜨誱踕
疐	嚏懥疐
疑	㘈㽈䰯儗凝嶷懝拟擬疑癡碍礙薿觺譺
疒	疒
疢	疢
疾	㑵嫉愱槉疾蒺
癶	癶
癸	䳫戣揆楑湀猤癸睽聧葵藈鄈鍨闋阕騤
癹	发癹
登	㡧㲪㽅䆸䔲䮴䳾僜凳墱嶝憕撜橙澄灯燈璒登瞪磴簦膯覴證证蹬邓鄧鐙镫隥鼟
發	䉬䚨废廢拨撥橃泼潑癈發襏酦醱鏺驋鱍
白	㼟伯啪帕帛怕拍敀柏泊湐珀白碧箔粕胉舶迫鉑铂魄鮊
百	㹮佰咟帞洦百皕蛨袹貊銆陌
皀	匓孂廄廏皀簋鵖
皃	㦝䡚䫉皃藐貌邈
皆	偕喈堦揩楷湝瑎皆稭蝔諧谐鍇锴阶階鶛龤
皇	䄓䅣偟凰喤堭媓徨惶揘湟煌瑝皇皝篁艎葟蝗諻遑鍠锽隍韹餭騜
皋	㟸㤒㿁䆁䔌䚌䜂䜰䣗䫧嗥噑暤暭槔橰獆獋皋皐睾翱翺臯鷎鷱
皛	㵿皛
皮	㝿㢰㱟佊坡帔彼披旇柀狓玻疲皮破秛簸紴翍耚被詖貱跛鈹铍陂鞁頗颇駊骳髲鮍
皿	皿
盆	湓盆葐
盈	䋼楹盈
益	㱲䅬嗌搤溢益縊缢膉艗螠諡謚谥貖賹鎰镒隘鷁鹢齸
盍	㔩㕎㹤㾀䀷䖔䗘䫦劫厒嗑圔壒廅怯搕榼溘滟灩熆盍盖瞌砝磕篕艳艷蓋蜐豔鉣闔阖饁馌鰪
盜	盗盜
盡	儘壗尽濜烬燼璶盡荩藎賮
監	㔋㜮㯺㺝㽉䆾䰐儖嚂壏尴尷懢揽擥攬榄槛檻欖滥濫爁监監礛篮籃纜舰艦蓝藍蘫褴襤覽览轞鉴鑑鑒
盥	盥
盧	㠠㪭㿖䰕卢嚧垆壚庐廬攎栌櫨泸瀘炉爐獹瓐盧矑籚纑罏胪臚舻艫芦蘆蠦轤轳鑪顱颅驢驴髗鱸鲈鸕鸬黸
盩	盩
盭	盭
目	目瞐苜
直	㨁䐈值埴德惪植殖淔犆直稙置
相	厢廂想湘相箱緗缃葙
盾	㡒䋸䛻循揗楯盾腯輴遁鍎鶞
省	㮐㼳㾪䚇渻省眚箵
眉	䉋媚嵋楣湄煝瑂眉睂篃葿蝞郿鶥
看	看
眔	䜚䳴嚃眔遝
真	㒹䐜䡩傎厧嗔填寘巅巔愼慎搷槙滇瑱瘨癫癲眞真瞋磌禛稹窴縝缜蒖謓蹎鎭鎮镇闐阗顛颠鬒鷏黰齻
眾	䝦众潨眾衆
睘	䁵儇噮圜嬛寰彋懁擐檈澴獧环環癏睘糫繯缳翾蠉譞轘还還鐶镮闤阛鬟
睪	㘁䁺䐾䕪凙圛墿峄嶧怿懌择擇斁檡殬泽澤燡睪箨籜繹绎萚蘀蠌襗譯译醳释釋鐸铎驛驿鸅
睰	睰
睿	䜜叡壡濬璿睿
瞢	㝱䉚䒐䠢䲛夢懜懵梦甍瞢蘉鄸
瞿	忂惧懼戵欋氍灈癯瞿臞蠷衢躣鑺鸜
矍	䂄䢲䣤彏戄攫玃矍籰貜躩钁
矛	懋楙矛罞茅蟊袤雺髳鶜
矞	䆷䤎劀噊憰橘潏燏獝璚瞲矞繘譎谲遹鐍霱驈鱊鷸鹬
矢	䀢䀵䒨矢薙雉
矣	㶼俟唉埃娭挨欸涘矣竢誒诶騃
知	䚐䝷䣽䵹智潪痴知蜘踟鼅
矨	矨
石	䄷䞠䲽妒妬拓斫柘沰石硕碩磔磭祏袥跖鉐鼫
砅	砅
砉	剨湱砉
磊	㰁磊藞
示	沶狋眎示祁視视
礼	礼
祘	祘蒜
祝	呪咒柷祝
祟	䔴䳳祟贅赘
票	㟽㠒㬓䏇僄剽勡嘌嫖幖彯慓摽旚标標漂熛瓢瘭瞟票篻縹缥翲膘蔈薸螵褾醥鏢镖顠飄飘驃骠鰾鳔
祭	㗫㡜䏅䕓傺察摖擦瘵祭穄詧际際鰶
禁	㦗㩒㯲䫴僸凚噤澿禁襟齽
禸	禸
禹	㝢䨞楀瑀禹聥萭踽鄅齲龋
禺	㼴䴁偶喁堣媀寓嵎庽愚湡禺耦蕅藕遇鍝隅顒颙髃鰅齵
离	㰚㷰䅻䍦摛攡樆漓灕璃离篱籬縭缡罹蓠蘺螭褵謧醨離魑黐
禼	禼窃竊
禽	噙擒檎禽
禾	䒩俰咊和盉禾鉌龢
禿	䛢禿秃鵚
秀	琇秀莠蜏誘诱透銹
秉	棅秉
秋	㡑㵞㾭䎿䨂䵸僽啾愀愁揪揫楸湫甃瞅秋秌篍萩醔鍫鍬锹鞦鬏鰍鳅鶖鹙
科	䈖犐科萪蝌
秝	秝
秦	搸榛溱秦臻蓁螓轃
秭	姊柹秭笫胏趀
稽	㮷䭬嵇稽
穆	㣎穆
穌	㢝囌稣穌苏蘇酥
穴	㧒䋉䛎䴳坹泬穴袕鴪
穹	䛪䠻焪穹
空	㾤䅝倥啌埪崆悾控椌涳硿空箜羫腔谾鞚鵼
穿	穿
突	堗宊揬突葖鶟鼵
竄	撺攛窜竄蹿躥鑹
立	㕇㱞䶘啦垃岦拉泣湆砬立笠粒苙菈雴颯飒鴗
竟	境摬樈滰獍璄竟鏡镜
章	㢓墇嫜嶂幛彰慞暲樟漳獐璋瘴章蔁蟑鄣障麞
童	㼿䂌䝑䡴䴀僮噇幢憧撞曈橦潼犝疃瞳穜童罿艟蕫蹱鐘钟
竵	竵
競	竞競誩
竹	竹竺笃筑築篤茿
笑	㗛笑
筆	㻶潷笔筆
等	等
筋	䈥筋
筭	笇筭
筮	噬澨筮簭遾
算	㔍䉵䵵匴攥算篡篹繤纂
節	㘉㸅䲙幯擳栉櫛瀄疖癤節节蠞
米	䋛䍘䱊侎冞咪攗敉洣眯瞇米蔝蘪謎谜迷麊麋
籴	籴糴
粜	粜糶
粟	㔄憟粟
粥	粥鬻
粦	㷠䗲僯壣嶙憐撛橉潾燐獜璘甐疄瞵磷粦粼繗翷膦轔辚遴邻鄰鏻驎鱗鳞麟
粲	㛑殩灿燦璨粲薒餐
粵	粤粵
糞	䆏瀵粪糞
糸	糸
系	係系
約	哟喲箹約约药葯
素	㨞䛾傃嗉塐素膆
索	㮦䞽嗦溹索
累	䉂嫘摞樏瘰磥累縲缧蔂螺鏍镙騾骡
絕	㔢絕绝脃脆蕝
絲	丝絲蕬鷥鸶
綌	㮝綌郤
緐	㶗緐
緜	棉矊綿緜绵
縣	县悬懸縣
繁	瀪瀿繁蘩
繇	㘥櫾繇蘨
繭	繭茧蠒襺
纍	㶟儽欙纍纝虆
缶	㓡㯱宝寶珤缶缹缻
网	网蛧
罔	惘棢網罔菵誷輞辋魍
罙	探棎深琛穼罙賝
罪	㠑䊫罪
罰	罚罰藅
署	曙署薯
罷	㔥䥯摆擺犤矲罢罴罷羆藣襬
羅	㑩㦬㿚儸啰囉攞曪欏猡玀箩籮罗羅萝蘿逻邏鑼锣饠
羈	羁羇羈覊
羊	㨾㺊䭐佯养姜庠徉恙样樣氧洋漾瀁烊痒癢眻祥羊羕翔蛘詳详養鯗鲞鴹
羋	羋芈蝆
羌	唴猐羌蜣
羍	羍
美	媄渼美鎂镁
羑	㕗羑
羔	㚠䅵䫞溔禚窑窯糕羔餻
義	㕒㠖䣡䴊义仪儀曦檥牺犧礒羛義羲舣艤蚁蟻議议轙
羴	羴羼
羸	㱻䇔䌴羸臝蠃驘鸁
羹	羹
羽	䣁䨒栩珝祤羽翵詡诩頨
翁	㮬䈵䐥䩺䱵勜嗡塕慃暡滃翁蓊螉
翌	翊翌蛡
翏	㶀㺒䀊䚧䰘䵏僇剹勠嘐嫪寥廖憀戮摎樛漻熮璆疁瘳磟穋繆缪翏膠蓼蟉謬谬豂賿轇鄝醪鏐镠顟飂髎鷚鹨
習	㗩䌌䐲䒁习慴摺槢熠磖習褶謵霫飁騽鰼
翕	㩉㯓噏嬆歙潝熻翕翖蹹闟
翟	㪬㺟㿑䊮䌦䢰嬥戳擢曜櫂濯燿籊翟耀藋蠗趯跃躍鸐
翠	噿濢翠臎
老	佬恅栳老
考	拷栲洘烤考銬铐
者	㨋㸙䐗䘄䬡䰞䰩堵奢奲帾撦暏楮渚煑煮瘏睹緒绪翥者褚覩觰賭赌赭醏鍺锗闍陼
耆	䅲嗜愭榰耆蓍鬐鰭鳍
而	㾍䎠峏恧栭洏而耏耐胹輀陑陾髵鮞鲕鴯
耎	㨎㬉㮕㼲䓴䙇䞂偄堧媆愞渜煗瑌碝稬緛耎腝蝡輭餪
耑	㪜䵎偳剬喘圌惴揣椯歂湍煓瑞端篅耑腨褍諯貒踹輲遄鍴顓颛
耒	䒹䣂洡耒誄诔銇頛
耳	㛅䋙䎶䏪䣵佴刵咡恥毦洱珥眲耳耻聻衈誀餌饵駬髶
耴	㑙㡇㤴㭯㳧䎎䳖耴聑踂輒辄鮿
耶	椰爷爺瑘耶鎁
耷	㿴耷
耿	耿褧
聅	聅
聖	厅廳柽檉聖聽蛏蟶
聚	㔌䝒䠫聚藂鄹驟骤
聯	㶌关联聮聯関關
聶	㸎䝕嗫囁慑懾摄攝欇滠灄聂聶襵讘蹑躡鑷镊顳颞
聿	䋖䢖律硉聿葎銉
肅	㩋㪩䃤䎘䐹啸嘯彇橚歗潇潚瀟熽璛箫簫繡绣肃肅萧蕭蟰鏽锈驌骕鱐鷫鹔
肇	肁肇肈
肉	朒肉
肎	啃肎肯
肖	㲖㴥䈰䘯䴛俏削哨娋宵峭帩弰悄捎揱旓梢消潲焇痟睄矟硝稍筲箾綃绡肖艄莦蛸誚诮赵趙踃輎逍銷销陗霄鞘韒颵髾魈鮹
肘	疛紂纣肘葤討讨酎
肙	㘣㯞㾓䅌䣺䧎䬼剈埍娟弲悁捐梋涓焆狷琄瓹睊絹绢罥羂肙蜎鋗鞙駽鵑鹃
肩	掮猏肩菺顅鵳
肰	肰
育	䋭唷堉棛淯焴育蘛蜟逳錥
肴	㮁倄崤殽淆肴郩餚
肸	肸
胃	㥜䁌䬑喟媦彙彚渭煟猬緭胃蝟謂谓
背	偝揹背鄁
胡	㾰湖猢瑚箶糊胡葫蝴衚醐餬鬍鶘鹕
胤	胤酳
胥	㥠䈝䱬壻婿揟楈湑稰糈胥蝑諝谞醑
能	䘅态態能螚褦
脅	嗋愶搚熁胁脅
脊	塉瘠脊膌蹐鶺鹡
膚	膚
臣	䛗䢻嚚挋臣茞頣
臤	㘋㹂䁂䌑䵖坚堅悭慳掔摼硻礥紧緊肾腎臔臤菣藖蜸賢贤鋻鏗铿鰹鲣
臥	卧臥
臦	煛臦臩
臧	脏臟臧藏贓赃
臨	临瀶臨
自	垍洎自臮詯郋
臬	㓷劓寱嵲甈臬臲鎳镍闑
臭	䠗嗅殠糗臭齅
臱	㝰䟍䫵䰓櫋矏笾籩臱边邊
至	㗧䏄侄咥垤姪庢恎挃晊桎痓秷窒絰绖耋胵至荎蛭螲跮輊轾郅銍铚駤鵄
致	㨖䞃緻致
臸	臸
臺	㘆儓嬯懛擡檯籉臺薹
臼	䊆䳎匶旧桕臼舅舊齨
臽	㡊䐄䘓䱤啗埳惂掐欿淊焰窞臽萏蜭諂谄輡錎陷餡馅鵮
臾	㥚㳛庾斞楰腴臾萸諛谀
臿	㛼㞚䙄䛽䮢偛喢插敮歃牐臿鍤锸
舀	䈱幍慆搯槄滔瑫稻縚舀謟蹈韜韬
舁	舁舆輿
舂	㦼䄝䚎憃摏桩樁舂蹖
舄	䉣写寫泻潟瀉獡磶舄蕮
與	㦛㶛㺞䑂举嬩屿嶼擧攑旟榉櫸欤歟玙璵礜穥與舉藇誉譽鱮鸒
興	兴嬹臖興
舌	絬舌
舍	啥捨涻舍騇鵨
舛	舛荈
舜	僢瞬舜蕣
舝	舝
舟	侜矪舟輈辀鵃
般	䈲䰉媻幋搫搬槃瘢盘盤磐縏般螌鎜鞶
艮	䓳䦘䫀垠垦墾很恨恳懇拫根檭泿狠珢痕眼硍艮艰艱茛蛝詪豤跟銀银限鞎齦龈
良	㝗㟍䀶䕞䡙䯖俍剆哴埌娘崀廊悢朖朗桹榔欴浪狼琅瑯硠稂筤粮艆良莨蒗蓈蜋螂誏踉躴郎鋃锒閬阆駺
色	色赩
艸	艸草
艾	哎艾餀鴱
芇	芇
芟	芟
芻	㑳㮲䅳䐢䑼刍媰搊煼犓皱皺篘縐绉芻謅诌趋趨邹鄒雏雛騶驺鶵齺
苗	喵媌庿描猫瞄緢苗貓錨锚
若	䖃偌叒婼惹楉箬若蠚諾诺蹃逽鄀
英	㲟媖暎楧渶瑛英霙韺鶧
茍	茍
茸	䇯䩸搑榵穁茸
茻	茻
荅	㜓㯚劄嗒塔搭撘榙瘩答荅褡鞳
莫	募嗼塻墓嫫寞幕慔慕摸摹暮模漠獏瘼瞙糢膜莫蓦蟆謨谟貘鄚鏌镆饃馍驀鬕
莽	㬒䁳䒎䥈漭莽蟒蠎
菐	㲫㹒䑑䗱䧤䪁䴆僕噗墣幞撲樸濮獛璞穙纀菐襆蹼轐醭鏷
華	䔢华哗嘩崋桦樺華譁鏵铧鞾驊鷨
萈	宽寬臗萈髋髖
萬	䜕劢勱噧疠癘萬虿蠆蠇贎迈邁
著	擆櫡着箸著躇鐯
葬	葬髒
蒐	蒐
蒙	䑃䰒幪懞曚朦檬濛矇艨蒙蠓靀饛鸏
蒦	㠛㦜䨥䨼䪝劐嚄嬳彠护擭檴濩獲瓁矆穫臒获蒦蠖護鑊镬雘韄頀鱯鳠鸌
蓏	蓏
蔑	㒝㩢䩏䯦幭懱瀎礣篾蔑蠛衊襪韈韤鱴
蔡	䌨攃礤蔡
蕆	蒇蕆
薦	䍎瀳薦鞯韉
薨	薨
蘸	蘸
虎	䗂䰧唬琥萀虍虎虡諕雐
虐	疟瘧虐謔谑
虒	㔸㡗㥴㴲㾷䖙䚦䞾䫢䶵傂嗁搋擨榹歋磃禠篪虒螔褫謕蹏递遞鷈鼶
虔	㓺㗔榩虔鰬
處	䖏处處
虖	㙤㯉㻯嘑嫭歑滹罅虖謼
虘	㜘㢒㪥䁦䠡䣜䶥摣樝皻蔖虘覰覷觑謯
虛	㠊嘘噓墟歔虗虚虛驉魖
虜	㢚䲐掳擄艣虏虜鐪
虢	㶁虢
虣	虣
虤	虤
虫	虫
虺	䖵䖶虺豗
蚝	蚝
蚤	㕚慅搔溞瑵瘙糔蚤颾騷骚鰠鼜
蚩	嗤媸滍蚩
蜀	㒔㯮㻿䟉䫳䮷噣擉斀斣歜浊濁烛燭独獨臅蜀蠋襡触觸躅鐲镯韣髑鸀
蟲	䂈䳋瀜爞痋融蟲赨鉵
蠱	蛊蠱
蠲	蠲
血	䆝䒸䦗侐卹恤欰殈洫血賉
行	䯒桁洐珩筕絎绗胻荇蘅行衡
衍	愆衍
衛	㦣卫衛衞讆讏躗躛
衣	㕈㛄㥋䧇依庡扆衣
表	俵婊表裱錶
衰	榱簑縗缞蓑衰
袁	園榬溒猿薳袁轅辕远遠
袞	滚滾蔉衮袞
裔	㵝䕍裔
裘	裘
褎	褎
褭	嬝袅裊褭
褱	㜳坏壞怀懷櫰瀤瓌蘾褱
襄	㚂䉴䑋䖆儴儾勷嚷囊囔壤孃忀懹攘攮曩欀瀼灢獽瓖瓤禳穰纕蘘蠰襄讓让躟酿釀鑲镶饟驤骧鬤
襾	襾覀
西	卥哂栖毢洒粞茜西
要	㫏䙅䳩偠喓婹腰葽要闄騕
覃	㜤㶘㽑䊤䐺嘾憛撢橝潭燂瞫磹禫簟罈蕈藫蟫覃譚谭贉醰鐔镡驔鱏鷣
見	䙽䨘䩤俔哯垷岘峴挸晛涀现現睍砚硯笕筧粯絸苋莧蚬蜆見见靦
覎	覎
規	嫢摫槻瞡窥窺規规闚鬹
覓	䌐䮭漞覓覛觅
覞	覞
覡	覡觋
親	䞋亲儭嚫寴榇櫬瀙衬襯親
角	埆捔桷确角
解	䲒嶰廨懈檞澥獬繲薢蟹解邂
觱	觱
言	䇾䓂䴦唁圁狺琂言訔誾这這
訇	揈渹訇輷鍧
設	蔎設设
詈	㦒詈
詹	㙴䃫䠨䦲䪜儋噡幨憺擔檐澹甔瞻簷聸膽舚蟾襜詹譫谵贍赡韂黵
誗	誗
諸	㶆䃴储儲槠櫧藷蠩諸诸
謐	䤉榓謐谧
譶	䜆譶霅
谷	䀰䘱俗唂峪慾欲浴焀螸裕谷輍鋊鵒鹆
豆	㛒㰯䄈䛠䜴䱏侸剅头梪毭浢痘短竖竪脰荳裋豆豎逗郖鋀頭餖饾
豈	㨟㱯䐩䔇䠽䱺䶣凒凯凱剀剴呆垲塏岂嵦恺愷敳暟溰獃皑皚硙磑螘覬觊豈鎧铠闓闿隑顗颽
豊	䪆体澧禮豊軆醴體鱧鳢
豐	㒥㠦寷沣灃蘴豐酆麷
豕	豕
豖	㙇㧻䐁冢剢啄塚涿琢瘃諑诼豖
豙	䉨毅藙豙顡
豚	豚遯
象	像勨嶑橡潒蟓襐象鱌
豦	㘌㯫䆽䟊剧劇勮噱懅據澽璩籧臄蘧豦遽醵鐻
豩	燹豩豳
豬	橥櫫潴瀦猪藸豬
豸	豸
貈	貈
貝	䟺䢙呗唄垻敗浿狈狽貝贁贝败鋇钡
貞	侦偵帧幀桢楨浈湞祯禎貞贞赪赬遉
負	偩萯蝜負负
貢	唝嗊愩槓碽篢貢贑贡
貪	僋嗿貪贪
貫	惯慣掼摜樌瑻謴貫贯遦鏆
責	㣱㥽㱴䟄䶦债債勣啧嘖嫧帻幘樍渍漬皟碛磧积積箦簀績绩耫襀謮責賾责赜蹟鰿
貴	㚍㿉䙡䜋䯣䰎僓匮匱嘳墤嬇尵愦憒樻櫃殨溃潰瞆瞶穨篑簣繢缋聩聵膭蒉蕢藬蘈貴贵蹪闠阓隤靧鞼頹颓饋馈
買	㵋䁲买卖嘪蕒買賣鷶
費	㵒䊧費费鄪靅
賁	㱵㿎䒈䩿䴅偾僨喷噴坟墳愤憤橨歕濆燌獖羵膹蕡蟦豮豶賁贲轒鐼饙馩鱝黂
賈	價槚檟賈贾
賊	蠈賊贼鱡
賏	甖罂罌譻賏鸎
賓	䎙䚔傧儐嫔嬪宾摈擯槟檳殡殯滨濱獱矉繽缤膑臏薲蠙賓鑌镔顮髌髕鬓鬢
質	䑇劕懫櫍礩質质踬躓鑕锧
賴	㸊䄤䲚嬾懒懶攋濑瀨獭獺癞癩籁籟藾賴赖
贊	㜺䂎䡽䰖儧儹劗囋巑攅攒攢欑濽灒瓒瓚禶穳籫纘缵臜臢襸讃讚賛贊赞趱趲躜躦鄼酂酇鑚鑽钻饡
贙	贙
贛	㔶㯯䤗戆戇灨竷贛赣
赤	㤸䞰䦝䬉捇浾烾焃螫赤赥赦郝
赫	吓嚇爀赫
走	走
足	㹱䎌促哫娖捉浞珿莡趗足鋜齪龊
路	潞璐簬虂路露鷺鹭
