#本表聲旁及轄字無重覆。
⺽	⺽䳔閰
別	㭭䇷䤢別别哵捌莂
利	䬆䴻俐利梨棃浰犁犂琍瓈痢筣莉蔾藜蜊蟍邌鑗鯬鵹黎黧
刪	䈀删刪姍姗狦珊跚
到	倒到捯菿
制	䎺䱥制掣淛猘痸製
則	侧側则則厕崱廁恻惻测測萴鍘铡鰂鲗
剌	㻝䓶剌喇揧楋瘌蝲辢辣鵣
前	㨵㮍前剪媊揃湔煎箭翦葥譾谫騚鬋
剝	䃗剝剥
劉	䉧䬟刘劉嬼懰浏瀏
力	㔹仂力勒叻嘞屴扐朸泐玏竻肋艻阞鳨
加	㤎㵑䴥伽加咖嘉妿架枷珈痂瘸笳茄袈賀贺跏迦駕驾鴐
劣	劣
劦	劦勰协協叶姭拹栛珕荔
助	助筯耡鋤锄
勞	䃕䝁僗劳勞唠嘮憥捞撈涝澇犖痨癆簩膋荦蟧髝
勺	㣿䄪䋤䶂仢勺妁尥彴扚杓汋灼犳玓瓝瘹的礿肑芍豹趵酌釣钓靮馰魡
勿	㫚䀛伆刎勿匫吻岉昒曶沕物笏脗芴
匀	勻匀呁均憌昀枃汮畇盷笉筠荺袀赹鈞钧韵
包	㯡䍖䎂䛌䮀刨勹勽包匏咆庖抱枹泡炮炰狍玸瓟疱皰砲窇胞苞菢袌袍跑軳辔鉋雹靤鞄颮飑飽饱骲鮑鲍
匊	㥌㹼㽤䗇䜯䱡匊巈掬椈毱菊蘜諊趜踘鞠鞫驧鵴麴
匋	䛬匋啕掏淘祹綯萄蜪裪陶騊
匕	匕庀朼牝疕
化	㗾化吪囮杹花訛讹貨货鈋靴魤
北	北苝邶
匘	㛴㺁匘堖恼惱瑙硇碯脑腦
匠	䞪匠
匡	䒰䖱劻匡匩哐恇框洭眶筐誆诓軭邼
匸	匸
匹	䏘匹鴄
医	医
匽	㰽䞁偃匽堰揠蝘褗躽郾鰋鶠鼴鼹
匿	㥾䘌匿慝暱
區	䙔䧢䩽伛傴剾区區呕嘔塸妪嫗岖嶇彄抠摳敺枢樞櫙欧歐殴毆沤漚瓯甌瞘膒蓲謳讴貙躯軀醧鏂饇驅驱鰸鷗鸥
十	什十卙汁計计針针
卂	卂扟汛籸虱蝨訊訙讯軐迅阠
千	仟千圱杄汘芊谸迁阡
卅	卅
升	升抍昇陞
午	仵午忤旿杵汻浒滸許许迕
卉	卉泋芔
半	㪵䉽䬳伴冸判半叛坢姅拌柈泮牉畔絆绊胖袢靽頖
卌	卌
卑	㗗㪏㯅㵺㼰䇑䚜䫌䱝䴽俾卑啤埤婢崥庳捭椑渒焷牌猈琕痺睥碑稗箄粺綼脾萆蜱螷蠯裨諀豍郫錍陴鞞髀鵯鹎鼙
卒	㰵㱖㲞䚝䱣倅卒啐崒崪悴捽晬椊淬焠猝瘁睟碎祽稡窣粹綷萃誶谇賥踤醉錊顇
卓	㷹䂽䈇倬卓啅婥悼掉晫桌棹淖焯綽繛绰罩趠踔逴鋽鵫
南	䈒䋻南喃揇楠湳罱腩萳諵
卜	㺪䟔仆卜圤扑攴朴訃讣赴鳪
卞	卞忭抃汴犿苄飰
卟	乩卟
占	㓠㚲㥈㼭䀡䍄䩇䩞䬯佔占呫坫帖店怗惦扂拈掂敁枮檆沾炶点煔玷痁砧站笘粘苫蛅覘觇詀貼贴跕踮鉆阽霑頕颭飐鮎鲇黇黏點
卣	卣
卩	卩卪
卬	㭿䒢䩕䭹仰卬昂枊迎
卯	㗦䱖丣卯奅戼昴柳泖珋窌聊茆貿贸鄮駠
印	印抑鮣
危	㩻䣀䤥佹危卼垝姽尯峗峞恑桅洈硊祪蛫觤詭诡跪陒頠鮠
即	䐚即卽唧堲揤楖蝍鯽鲫
卵	㤻卵
卷	㒽䅚䊎倦卷圈埢婘捲棬淃犈睠綣绻腃菤蔨蜷裷踡鬈
卸	卸啣
卻	却卻脚腳
卿	卿
厂	㷳厂屵贋贗赝雁鳫鴈
厃	厃
厄	㧖厄呃呝戹扼蚅豟軛軶轭阨阸
厓	厓啀娾崖捱涯睚
厚	厚
原	㹉傆原厵嫄愿榞源獂縓羱蒝謜豲願騵
厤	㽁历厤曆磿
厥	㵐劂厥憠撅橛橜獗蕨蟨蟩蹶蹷鱖鳜鷢
厭	压厌厣厭厴壓嬮懕擪檿靥靨餍饜魇魘黡黶
厲	励勵厉厲巁櫔濿犡砺礪禲粝糲蛎蠣
厶	㺨厶私
厷	䍔厷吰宏浤竑紘纮翃耾肱谹鈜閎闳雄
厸	厸
去	㧁㭕㰦䒧佉去呿弆抾祛胠袪阹魼麮鼁
厽	厽垒絫
叀	叀
參	㜗㧲㺑㽩䊉䟃䫅䫩俕傪参參墋嵾惨慘掺摻曑槮毵毿渗滲犙瘮碜磣穇篸糁糝縿蔘謲遪醦驂骖鬖黲
又	㕛又友
叉	㳗䑡䟕叉扠杈汊芆衩訍釵钗靫
及	㚫㠷㧀㽺䑥䲯伋及吸圾岌彶急扱昅极汲砐笈級级芨衱趿鈒雭靸馺魥
反	㤆㽹䡊反坂扳昄板汳版瓪畈眅粄舨蝂販贩返鈑钣阪飯饭魬
叔	俶叔埱婌惄掓敊淑琡督菽蔋裻錖
叕	㱀䄌䞵䟾䫎剟叕啜娺惙掇敠欼歠畷窡綴缀罬腏蝃裰輟辍逫醊錣餟鵽
取	㖩㷅䕺丛取叢埾娵娶掫棷棸箃緅菆諏诹趣郰陬鯫鲰黀齱
受	㖟受授綬绶
叚	䠍䫗假叚嘏婽暇椵煆犌猳瑕瘕碬葭蕸虾蝦豭貑赮遐鍜霞騢鰕麚
叟	㛐㛮㪢㮴㵻䏂䕅䩳䬒傁叜叟嫂廋搜溲獀瘦瞍艘螋謏遚鄋醙鎪锼颼飕餿馊騪
口	口叩扣筘釦
古	㕆㱠㼋㽽䊀䔯估古咕姑岵怙故枯楛沽牯瓳盬祜罟苦蛄詁诂跍軲酤鈷钴骷鴣鸪
句	䅓䈮䑦䝭䞤䧁䪷佝劬勾句呴喣够夠姁岣怐拘敂斪昫朐枸欨煦狗玽痀眗竘笱絇翑耇胊苟葋蒟蚼訽豞豿跔軥邭鉤钩雊駒驹鮈鴝鸲鼩齁
叧	叧拐枴柺箉
只	㰨䳅伿只咫抧枳疻胑軹轵齞
召	㲈㸛䂏䈃䎄䙼䫿䬰佋劭卲召岧弨怊招昭柖欩沼炤照玿眧紹綤绍苕菬蛁袑詔诏貂超軺轺迢邵鉊鞀韶髫
可	㗿㪃㫊㰤㱒䯊䶗何可呵哿坷妸岢抲柯河渮牁珂疴砢笴舸苛荷菏蚵袔訶诃跒軻轲鈳钶閜魺鴚
台	㾂䈚佁冶台咍始孡怠怡抬枲殆治炱珆瓵眙笞紿绐胎苔菭詒诒貽贻跆軩辝迨邰鈶颱飴饴駘骀鮐鲐齝
史	史駛驶
右	佑右祐醢
号	㙱号呺枵號饕鴞鸮
司	伺司呞嗣孠柌祠笥覗詞词飼饲
各	㓢㗉㤩㦴䀩䂮䅂䌎䛚䞦䶅佫各咯垎峉恪挌搁擱敋格洛烙狢珞略硌笿簵絡络胳茖落蛒袼觡詻貉賂赂輅辂酪鉻铬閣阁雒頟駱骆骼鮥鵅
吅	吅
合	㓣㢵㭘㾑㿯䀫䆟䞩䢔䨐䶀䶎佮匌合哈姶帢恰拾敆欱洽湁烚珨畣盒祫給给耠蛤袷詥跲郃鉿铪閤鞈韐頜颌餄鮯鴿鸽龕龛
吉	㓤㣟䂒䕸䦖佶劼吉咭夡姞恄拮撷擷桔欯洁狤硈秸結纈结缬翓聐蛣袺襭詰诘趌郆頡颉髻鮚鲒鴶黠
同	㓊㢥䆚侗同哃姛峒恫戙挏桐洞烔痌眮硐筒絧胴衕詷迵酮銅铜駧鮦鲖
名	名姳洺眳茗詺酩銘铭
后	㖃㸸䞧后垕垢姤缿茩詬诟逅郈銗骺鮜鲘
吏	使吏
向	䖮向嚮晌珦餉饷
君	㴫䇹僒君宭峮帬捃桾涒焄窘羣群莙裙裠輑郡頵鮶麏
吝	吝悋麐
吠	吠鼣
否	䓏䫠俖否嚭娝桮痞
含	㟏含唅梒浛琀筨莟谽鋡頷颔馠
吳	㻍俁俣吳吴噳娛娱悞澞祦虞蜈誤误鋘鸆麌
吹	䶴吹炊焁
吾	㹳䎸䓊吾唔啎圄娪寤峿悟捂敔晤梧浯珸窹衙語语逜郚鋙铻鯃鼯齬龉
呂	侣侶吕呂梠筥絽莒郘鋁铝
呈	䇸呈塣徎悜挰桯浧珵睈程裎逞郢酲鋥鞓
告	䧊䧼䶜吿告喾嚳晧梏浩焅牿皓硞祰窖簉誥诰郜酷靠頶鵠鹄
周	㚋䞴䯾倜凋周啁奝婤彫惆晭椆琱碉禂稠綢绸翢蜩裯調调賙赒輖週郮錭雕鯛鲷鵰
咅	㯁㰴㾦䋨䍌䎧䏽䞳䯽䳝䴺倍剖咅培婄掊棓殕毰涪焙犃瓿箁篰菩蓓蔀賠赔踣部醅陪
咎	㰶㹾䓘䛮倃厬咎晷櫜綹绺麔鼛
咠	䁒咠戢揖楫檝湒濈箿緝缉葺蕺諿輯辑霵
咢	㖾㗁㮙偔咢堮崿愕湂腭萼諤谔遌遻鄂鍔锷顎颚鰐鶚鹗齶
咶	䀨䄆䒷䟯䯏佸刮咶姡憩懖括敌活秳筈聒萿葀蛞話话趏适闊阔頢颳髺鴰鸹
咸	㰹㺂䁍䌠䶢减咸喊椷減瑊箴緘缄羬葴諴輱醎鍼顑鱵鹹麙黬
咼	㗻䈑䯞剐剮咼喎埚堝娲媧楇檛歄涡渦濄瘑碢祸禍窝窩簻緺脶腡膼莴萵薖蜗蝸諣过過鍋鐹锅騧
哀	偯哀
品	品闆
哉	䛋䵧哉栽渽溨烖睵胾蛓裁載载酨
員	䐣䚋䫟勋勛员員圆圓塤愪损損殒殞溳磒筼篔縜貟郧鄖陨隕霣韻
哥	哥歌滒謌
哭	哭
唐	㲥㼺䧜傏唐塘嵣搪榶溏煻瑭磄篖糖蓎螗赯醣鎕餹鶶
唯	䗽倠唯婎帷惟潍濉濰猚琟睢維维蓶虽蜼踓雖鷕
商	商蔏螪
啇	㹍䊞䎮䵂啇啻嘀嫡摘擿敵樀滴甋膪謫讁谪蹢適鏑镝
啓	䁈䏿启啓啟晵棨綮闙
啚	啚鄙
善	僐善墡嫸橏磰繕缮膳蟮譱鄯饍鱔鳝
喜	㰻䵱僖喜嘻嬉憙歖熹瞦禧糦蟢譆饎
喦	喦
喪	丧喪
喬	㝯㢗䀉䎗䚩乔侨僑喬嘺娇嬌屩峤嶠憍挢撟敽桥橋毊獢矫矯穚簥繑荞蕎蟜譑趫蹻轎轿鐈鞽驕骄鱎鷮
單	㠆㺗䐷䡲䯬䵐亸僤匰单啴單嘽嚲墠婵嬋幝弹彈惮憚战戰掸撣樿殚殫潬灛燀瘅癉磾禅禪箪簞繟蕇蝉蟬襌觯觶貚郸鄲闡阐驒鱓鷤鼉鼍
喿	㿋劋喿噪幧懆操橾澡燥璪繰缲臊藻譟趮躁鄵鐰髞鱢
嗇	㱇䉢啬嗇懎濇穑穡繬轖
嘆	㔮䎯叹嘆擹暵歎汉漢熯
器	器
噩	噩鑩鱷鳄
嚴	㘙䉷严俨儼嚴岩巖曮玁礹讝酽釅
囂	㺧䖀嚣囂虈
囗	囗
囚	囚泅苬鮂
四	呬四柶泗牭訵駟驷
回	䛛佪回徊洄茴蛔迴
囟	囟細细顖
因	㘻㧢㸶咽因姻欭氤洇烟絪胭茵裀鞇駰骃
囪	匆囪囱窗
困	困悃捆梱涃睏硱稇綑裍閫阃齫
囷	㖥㻒䐃囷攈稛箘菌蜠麇麕
固	䍛個凅固婟棝涸痼稒箇錮锢鯝
圂	㨡㮯圂慁溷
圉	圉
國	嘓国國帼幗慖掴摑漍簂膕蔮蝈蟈
圖	图圖
土	䀅吐土徒杜社肚芏荰靯
圣	圣怪恠
圥	圥
在	在茬
圭	㜇㥨㨒㰪㾏䖯䙵䞨䠑䯓䳏佳刲卦哇圭奊奎娃恚挂掛桂楏洼溎烓珪畦眭睳硅窐窪筀絓罣胿茥蘳蛙蝰街袿褂觟詿诖跬邽閨闺鞋鮭鲑黊鼃
圼	㖏㘿圼捏涅篞
