此版簡化主要涉及
1. 部件重複而其重複不影響含義的，去掉重複的部分
2. 甲骨以後在篆書分化的部件，作爲其它字部分時，採用較簡單的（如在其它字中作爲部件時「糸>幺」）
3. 繁化時可有可無的部件
5. 鳥獸重新擬定隸變
未涉及的簡化
1. 左右重複，有兩種簡化策略：可以縮合書寫縱向的筆畫（公式：2xN>N+1），或者可以參考草書簡寫
2. 多次重複書寫，可加漢字數字表示（如「龖>⿰二龍」）
2. 鳥獸足以「一」表示
3. 簡化「目、貝、見」等形

以下是部件分類（方向符號↺↶↷↔↕指示符號↓分數符號½⅓）
*衍生字
!構型不明
-----身體和器官-----
?	2C516	割草的工具，分化「乂」
-----兵器-----
士	58EB	某種斧頭
單	55A6	兩個末端有石頭的棍子綁在一起
*嘼	563C	⿱單口
己	5DF1	繩子
干	5E72	一種盾牌
弓	5F13	弓
*引	5F15	〾弓{拉弓}
戈	6208	一種橫刃兵器
戉	6209	圓斧
*戊	620A	〾戉
*戌	620C	〾戉
*我	6211	〾戈
*戚	621A	〾戈
*王	738B	↶戉
甲	7532	盾牌
矛	77DB	矛
矢	77E2	箭矢
*!寅	5BC5	〾矢
*畀	7540	〾矢{扁頭箭}
*至	81F3	↺矢，到達
**函	51FD	⿴{帶手提環的容器}至，箭匣
-----樂器-----
南	5357	鐘
壴	58F4	鼓
庚	5E9A	某種類似鐘的樂器
龠	9FA0	⿱亼{龠}
-----餐具-----
勺	52FA	舀東西的食具
*匕	5315	↔勺
午	5348	杵，舂米用的木棒
壺	58FA	壺
斗	6597	舀水的大杓子
*升	5347	〾斗
曾	66FE	一種炊具
氏	6C0F	勺子
*氐	6C10	⿱氏↓
-----器皿-----
㫗	3AD7	某種器皿，即「厚」右下部分
凡	51E1	盤
匚	531A	某種方形器物，又作「匸」隱藏義
同	540C	筒，其中「口」字可省，象形含義有爭議
爵	7235	⿰{爵}又，爵
用	7528	桶
*甬	752C	⿱{懸掛用的孔}用，鐘
甾	753E	一種竹製器皿
畐	7550	一種酒器
皀	7680	簋，一種盛食物的器皿
皿	76BF	飯盤子
盍	76CD	⿱{蓋}皿
缶	7F36	缶，一種有蓋子的器皿
臼	81FC	臼
豆	8C46	盛食物的小罐
*!豈	8C48	⿱?豈
酉	9149	酒樽
*酋	914B	⿱八酉
鬲	9B32	一種炊具
鼎	9F0E	鼎
-----交通-----
舟	821F	船
行	884C	道路
*彳	5F73	½行
車	8ECA	車
*軎	8ECE	⿱車〇，車軸端
-----動物-----
兔	5154	兔子
*㲋	3C8B	〾兔
夒	5912	獼猴
它	5B83	蛇
巳	5DF3	蛇，一說「子」分化（在「包」字中）
巴	5DF4	巴蛇
廌	5ECC	一種神獸
彑	5F51	獸頭
昆	6606	昆蟲
朋	670B	二繫貝
求	6C42	多足蟲
烏	70CF	烏鴉
燕	71D5	燕
