# 本表聲旁及轄字無重覆
# 少量轄字的聲化字的附屬字()標示
# 特殊情況用[]標示
𦥑	⺽䳔閰𦥑
进	琎进
[井]	㓝畊耕
讲	讲
[开]	㼛形(䤯)邢鈃钘
刑	㣜㭢侀刑型硎荆荊鉶铏
丼	丼
亖	亖
亘	䚙亘咺垣峘暅桓洹烜狟絙荁貆
亙	㔰䱍亙恆(㮓䱭堩揯緪)絚𨀿
[亘]	䱎刯姮恒(䱴搄縆𠷐)𠡚𢬎
亞	㝞㰳䃁䛩䢝亞俹啞埡堊婭孲掗(𠻺)椏氬琧瘂稏蝁錏鵶𣵾𤦩𦜖
惡	䜑僫噁惡癋鐚𥼳𦠲𦼇𨉼𪅴
亜	亜唖
悪	悪
亚	䅉亚哑垩垭娅挜桠氩痖铔
恶	恶𫫇
亟	㥛䓧䩯亟極(𨅰)殛焏
亡	㠵䖟䰶亡吂妄(𤥑𥿺𨦩)忘(莣)忙朚望(𥊛)杗杧氓汒(茫𥭎)牤甿盲(䈍䗈)盳笀肓虻蝱(䥰)衁邙釯𠺯
芒	㟐䅒恾硭芒鋩铓𠴏𡙧𣒣𤞽𤶼𥇀𥭶𦀴𦛿𧋽𩓜𩷶
巟	㡆㤺䀮巟
荒	㡛㬻㼹䐠塃慌荒謊谎𠻄𤠤𩺊
亾	㠩㡃亾詤
兦	㤀兦
亢	㰠㼚㽘䋁䘕䟘䡉䭺䲳䴚亢伉劥匟吭囥坑妔忼抗斻杭(𠵉)沆炕牨犺砊秔笐粇肮航苀蚢貥迒邟鈧钪閌闶阬頏颃骯魧
交	㝔㬵㼎㿰䂭䍊䘨䢒䴔交佼効(俲)咬姣峧恔挍效(傚滧)晈校洨烄狡珓皎窔(𢲷)筊絞绞胶茭虠蛟詨跤較较郊鉸铰頝(纐)餃饺駮(礮)骹(䉰䕧)鮫鲛鵁齩
亥	㐪㚊㤥㧡㱾䀭䠹䤤䬵亥侅刻劾咳垓奒姟孩(𢱙)峐晐核欬氦烗畡痎硋絯胲荄(𠹽𢲧𣘃𤼞𦃮𦟍𨐮𨢟)該(𡀲)该豥賅賌赅輆郂閡阂陔頦颏餩駭骇骸𨠳
亦	㑊亦亪奕(㷜湙)帟弈(㴒)洂硛脔𠲔𢙕𩷉𪁂
亨	㧸亨哼悙梈涥烹(䥋𢴒)脝
享	享
亯	亯
京	㹁䁁䃄䝶䣼京倞凉剠勍婛弶惊掠晾椋涼(𡰏)猄(𢠃)琼綡翞諒谅輬辌鍄鯨鲸鶁麖黥𠶛𡌿𡹞𡹡𨂙𫟅
亰	亰鿌
亮	亮喨湸
景	㔀䭘幜影(𡂵)憬撔景暻澋璟鐛𠎠𠾶𥋓𩐿𪆣
㬌	㬌
亭	㷚䁎亭停(𠏦𠼵)婷嵉揨楟渟碠聤葶蝏諪𠷥𢝜𥪜𦂃
亶	㔊㣶䁴䃪䄠䆄䉡䕊䡀亶儃勯壇嬗憻擅旜檀氈氊澶璮皽繵羶膻蟺(灗)襢譠邅顫颤饘驙鱣鳣鸇鹯𨲷𫗴
坛	坛
人	㕥人朲秂认魜
